sex,sex_label,age_group,age_group_label,weight_class_kg,year,result_count,squat_sample_size,avg_squat_kg,bench_sample_size,avg_bench_kg,deadlift_sample_size,avg_deadlift_kg,dataset_updated
M,Males,junior,Junior (19–23),120,2022,460,460,239.89,460,152.63,460,260.16,2026-08-31
M,Males,junior,Junior (19–23),120,2023,585,584,237.69,585,150.75,585,260.12,2026-08-31
M,Males,junior,Junior (19–23),120,2024,837,837,241.69,837,152.1,837,261.48,2026-08-31
M,Males,junior,Junior (19–23),120,2025,957,957,248.54,957,157.54,957,266.63,2026-08-31
M,Males,junior,Junior (19–23),120,2026,489,489,251.52,489,158.05,489,266.48,2026-08-31
M,Males,junior,Junior (19–23),120+,2022,246,246,250.03,246,158.65,246,265.27,2026-08-31
M,Males,junior,Junior (19–23),120+,2023,301,301,248.37,301,155.99,301,259.13,2026-08-31
M,Males,junior,Junior (19–23),120+,2024,347,346,256.97,347,161.2,347,260.98,2026-08-31
M,Males,junior,Junior (19–23),120+,2025,370,370,263.18,370,163.05,370,262.8,2026-08-31
M,Males,junior,Junior (19–23),120+,2026,204,204,259.66,204,160.73,204,258.37,2026-08-31
M,Males,open_age,Open-age (24–39),53,2024,1,1,90.0,1,60.0,1,135.0,2026-08-31
M,Males,open_age,Open-age (24–39),59,2022,167,167,153.47,167,98.51,167,186.94,2026-08-31
M,Males,open_age,Open-age (24–39),59,2023,234,234,157.51,234,102.96,234,193.59,2026-08-31
M,Males,open_age,Open-age (24–39),59,2024,248,248,162.66,248,106.3,248,197.25,2026-08-31
M,Males,open_age,Open-age (24–39),59,2025,273,273,164.39,273,105.58,273,196.54,2026-08-31
M,Males,open_age,Open-age (24–39),59,2026,113,113,167.75,113,109.29,113,203.22,2026-08-31
M,Males,open_age,Open-age (24–39),66,2022,414,414,173.72,414,115.01,414,206.45,2026-08-31
M,Males,open_age,Open-age (24–39),66,2023,516,516,177.96,516,114.87,516,210.78,2026-08-31
